spkid,a,e,i,om,w,ma,epoch,diameter,spec_B
2000789,2.686494866,0.148244947,10.77702235,232.6067823,43.80773277,18.94404704,2459000.5,22.483,X
2000792,2.62199929,0.131468292,8.62516345,265.0704345,227.5506159,280.1005383,2459000.5,61.804,X
2000793,2.797132578,0.125064664,15.77674209,36.02665568,308.2264809,304.4460324,2459000.5,26.636,S
2000795,2.748891906,0.102399877,19.05114078,17.37674328,190.1758316,206.6319874,2459000.5,85.263,C
2000796,2.63420471,0.320340951,19.05130797,33.18614855,329.5386779,263.8619048,2459000.5,43.58,X
2000797,2.535384584,0.060631458,4.512537671,238.3276068,354.7027943,211.4693147,2459000.5,21.197,S
2000804,2.837754565,0.140594798,15.39704496,347.5854566,344.6692092,206.0575445,2459000.5,137.952,C
2000814,3.155849864,0.306546603,21.82196278,88.78630493,296.5278043,247.2609711,2459000.5,102.229,C
2000819,2.19763696,0.141792861,4.896317494,333.1180616,306.4437068,246.51714,2459000.5,8.917,S
2000825,2.225717316,0.07545223,3.39984591,101.4059041,111.4957532,112.9092178,2459000.5,13.423,S
2000826,2.711850923,0.206000504,7.10477722,230.2171273,36.69665168,51.96219414,2459000.5,22.556,C
2000844,3.204016372,0.069339977,8.776041402,348.6882203,353.1982036,92.23355055,2459000.5,42.154,X
2000845,2.938135548,0.070024908,12.60957303,43.14381635,294.6228302,265.753718,2459000.5,52.677,C
2000847,2.781324071,0.095905689,2.481918253,270.9190407,129.7904801,145.9649283,2459000.5,24.931,S
2000856,2.434759834,0.11941336,14.32771367,125.5392993,72.99858196,137.7179132,2459000.5,45.449,C
2000860,2.79683291,0.106765465,13.2989122,309.3504649,21.72174566,182.5879948,2459000.5,34.561,X
2000862,2.80384124,0.082269163,13.88716765,300.0100977,120.9656134,53.87149463,2459000.5,27.033,S
2000866,3.123848616,0.052267362,8.661590722,91.06018552,263.2010412,34.54366616,2459000.5,78.061,X
2000870,2.322231469,0.265130592,6.192799243,120.7974729,196.8938256,343.8687975,2459000.5,13.683,S
2000872,2.731607453,0.078626684,7.374348391,194.7209187,18.01493796,313.3121787,2459000.5,34.431,X
2000886,3.170136176,0.270408566,16.86413247,58.88651176,302.1629278,101.7637081,2459000.5,86.793,C
2000905,2.216519508,0.152952354,5.322344771,37.14261595,343.0813795,298.8883398,2459000.5,12.07,S
2000912,3.138495728,0.176443594,18.27408157,33.73139235,90.18024437,169.5862813,2459000.5,82.675,C
2000919,2.772058173,0.083414404,8.165688893,229.8325044,156.0244664,14.86124038,2459000.5,33.5,C
2000924,2.938334721,0.152993351,8.987185201,150.1940257,219.9607531,355.9239368,2459000.5,85.49,X
2000925,2.699517707,0.080370711,21.10117341,299.5279124,201.9983267,201.450859,2459000.5,57.505,S
2000929,2.238986761,0.113052532,3.912828889,231.3822956,22.99021513,249.249447,2459000.5,11.443,S
2000941,2.782634537,0.196519973,6.625794574,52.3086666,334.9317223,159.4402713,2459000.5,18.217,X
